,userName,score,at,content
369,Yerry Semba,4,2022-08-09 08:19:28,Kenapa loading terus ni.... Cuman suara doang yg kedengeran... Gambar gk da
370,setya candra,5,2022-08-08 14:05:01,Klo ada yg gratis kenapa harus beli tapi tetep lah aku kasi bintang lima karena banyak film keluaran netflix bagus bagus
371,Lullaby 13,2,2022-08-08 13:48:01,"Pake apps di hp, Subtitle anime nyaru sama film nya jadi susah buat dibaca"
372,drew try,5,2022-08-08 07:40:11,Tolong di tambah opsi aspect ratio. Biar full di layar. Atau tambah opsi fit to screen. Biar puas nonton tanpa ada potongan hitam di tv / smartphone.
373,Cakap Lucu,1,2022-08-08 07:28:58,Kalo mau nonton film aja harus bayar mending gausah nonton aku.. Dan langsung hapus aja aok nya kalo begini caranya.. Mau nyari duit? Emang dari penghasilan download apk gak banyak apa? Masih minta duit lagi dari film.. Legal sih tapi gak suka kalo harus bayar dan cuman bertahan sebulan doang
374,Yesi Ramadhani,1,2022-08-08 01:47:44,"Netflix gak jelas,udah mendaftar email pun gak bisa masuk jg,udah berapa email yg dicoba tapi gak bisa masuk jg,mau masuk ke Netflix aja susah banget,sia sia di download tp gak bisa dibuka,jd di hapus lagi Netflix nya dari hp"
375,Muhammad Rifqi,3,2022-08-07 11:59:37,Apk nya bagus tapi banyak yang subtitle gak ada Indonesia jadi susah saya
376,Achmad Naufal,3,2022-08-07 11:12:20,"semuanya sudah oke, tolong ditambahkan pengaturan untuk ubah ukuran dan warna pada subtittle ya agar lebih memudahkan informasi yg didapat dari subtittle karna sering sekali warnanya sangat samar dengan video"
377,DWI CAHYONO 0604,5,2022-08-07 10:26:13,Aku suka kalo aplikasi ini banyak film2 luar negrinya kayak di Disney+. Sayangnya kalo langganan satu bulan harganya ga lebih murah dari Disney+.
378,Akairo,4,2022-08-07 05:33:38,"Sejauh ini fitur² dan film&anime bagus², tapi ada yg kurang yaitu teks subtitlenya, bisakah teks subtitlenya dibuat color nya jadi putih dan ditambah stroke di text nya bewarna hitam? Agar bisa membaca subtitle dengan jelas karena anime yang saya tonton sekarang susah saya baca subtitle nya yang malah kamuflase dengan animenya"
379,Siti Muthmainnah,4,2022-08-07 04:33:47,"Sejauh ini sudah puas sama pelayanan Netflix, tapi banyak banget yang pengen dibilang dari animenya di versi Inggris Tokyo ghoul re ada sementara di versi indo khususnya untuk pelayanan hape/tab tidak ada Tokyo ghoul re dan anime kakegurui season 1 juga tidak ada padahal sudah ada season 2nya, tolong di perhatikan lagi kelengkapan film atau animenya, Terimakasih."
380,Benta Rohma0304,2,2022-08-07 03:05:58,Terlalu sering memperbaharui..saya tdk pernah memkainya..ttpi sering memperbaharuinya..
381,Bilqis Asyakuru,2,2022-08-07 01:53:27,"Netflix nya jelek banget kalian jangan download sih kata ak mah ngeleg, memori penuh dan ak liat film ada bacaan yang hina nabi Muhammad Saw!! Dan saya ngomentarin nya cukup segitu saja ya, maaf klo Netflix sakit hati saya juga kaget ada film yang kaya gitu, saya ngomen nya segitu saja ya wassalamu'alaikum warahmatullahi wabarokatu 🙏🏻☺️"
382,Fathir Pradipta,1,2022-08-06 08:45:45,Kenapa ada lambang Allah SWT di lantai di film the umbrella the episode 3 saya tidak suka dengan begini ini sangat tidak bagus di download
383,Beri Sembiring,3,2022-08-06 07:46:30,Mohon bantuan dong App nya tidak bisa ke buka Setelah di klik cuma muncul tampilan awal gambar tulisan netflix nya aja
384,debby mutiara,1,2022-08-06 03:36:46,"Barbie as rapunzel ga bisa diputar, terus mau rekomendasi film kingkong 2005 jg."
385,Dewik Anjani,2,2022-08-06 02:45:32,Tolong benarkan lagi netflix-nya saya pingin masuk ke netflix tidak bisa sudah memasukkan akun dan segalanya tapi tetap saja tidak bisa tolong diperbaiki lagi
386,Danang Agung Kurniawan,1,2022-08-06 01:15:12,Sekarang Netflix gak nyimpan menit dan detik terakhir nonton video sampai mana
387,Utciha Afande,1,2022-08-05 17:25:02,Udh download kok gak bisa d liat ini netplik gmn kali apk y gua udh susuah2 donlod malah gk bisa padhl udh nulis e mail tapi ttp ngbisin kota ajh
388,파일Selenophile,5,2022-08-05 14:30:38,"series originalnya keren-keren, sebanding sama harganya. udah gitu designnya juga mudah buat ditelusuri dan enak dipandang. resolusinya bisa 4K dan lancar banget nontonnya. for your information, netflix ini memang platform berbayar jadi kalau mau cari film free disini ngga ada. soalnya biaya operasionalnya aja ga murah."
389,Novi Yansyah,1,2022-08-05 11:48:54,"Apk tolol, di suruh daftar tapi gk ada tombol daftar, mau masuk malah sandi email salah, padahal sandinya benar, saya login ke XXI, ke joox, ke bstation gk ada tuh salah sandi, kalau mau duit untuk daftar nya tinggal bilang, gk perlu di bikin ribet. Ngotak sikit lah buat apk udah gratisan banyak tingkah"
390,Julian Andhyka,1,2022-08-05 06:06:29,Gabisa masuk terus aneh... Tolong diperbaiki
391,mame magenta,3,2022-08-05 04:59:03,"Kenapa ada beberapa film yg hilang (sebelumnya ada, sekarang sudah gak ada lagi/gak komplit). Twilight saga, terakhir nonton des 2021 masih komplit, skrg agts eclipse dan breaking down tidak ada. Jadi mengurangi keseruan."
392,ᴅɪᴀʙʟᴏ_9,1,2022-08-04 18:21:50,Ah tak kirain free nonton.tahu nya bayar.. Apk sebelah lebih update Gak ribet free no ADS..
393,Abu Rizal,1,2022-08-04 17:08:41,Kok nonton baru dapat 10 min kok gabar GK ada cuma suara dong percuma dong udah bayar
394,Valentino Sinaga,1,2022-08-04 13:50:00,Appalah Netflix ini masa ga bisa masuk uda pake akun email kek koncol
395,andie life is journey,1,2022-08-04 12:58:41,Indo sudah ga bisa buka ya meski pakai vpn juga ga bisa
396,Cah Yadi,3,2022-08-04 10:03:51,"Apa apa ini pas masuk nyuruh masukin akun google dan pas daftar sandi salah Mulu padahal udah di coba beberapa kali, walaupun ku coba dengan ganti sandi akun google dadakan tetep sandi salah Mulu ni programer nya pada ngapain sii"
397,Asep Sikasep,3,2022-08-04 08:56:17,Setelah terakhir update daftar film yang sedang saya tonton jadi hilang semua terus pas di cari lagi ko malah g ada film y
398,Lidya Tjili,3,2022-08-04 01:51:07,"Kenapa sekarang jadi makin aneh, setiap abis pake wifi 1st media, apa yang gua tonton ga bisa play. Sebelumnya baik2 aja. Kenapa sekarang gini ya"
399,Humaira rose permata sari hadayatullah,4,2022-08-03 14:23:14,"Baguss sekali karna mahal wkwk Yg liat bawah Artinya manusia , tpi syng film² populer yg old lama² hilang"
400,Evi Ningrum,5,2022-08-03 14:12:06,"Suka bangets dgn aplikasi 1 ini film nya bagus"" juga no iklan sama sekali .puasss berlangganan."
401,Adriani Dewi,3,2022-08-03 10:26:56,"Netflix saya keluar sendiri berkali, sudah coba restart hp tp ttp ga bisa. Knpa ya"
402,Snorx Tv,4,2022-08-03 01:09:16,"Tolong diberi fitur untuk setting subtitlenya, terkadang subtitlenya tidak terbaca"
403,iding Jatisary,1,2022-08-02 18:07:05,Subtitle warna putih tidak bisa dibaca saat filmnya berwarna putih.
404,Fuji Lestari,5,2022-08-02 12:01:20,"Dari sekian banyak apk perfilm-an, paling suka sama netflix. Tampilannya rapih gak bikin pusing, pas ditonton enak. Gak yg ke sentuh dikit langsung berubah apa gimana pas lagi nonton"
405,Ferdy Adhasyah Putra,5,2022-08-01 14:43:24,"Aplikasi streaming Film, series, documenter, dan lain-lain. Sudah 24 Bulan berlanggan Legal gapernah ada trouble apapun. Mungkin yg kasih review jelek beli akun ""35rb untuk selamanya"", semoga dimudahkan rezekinya ya"
406,Intan Nuraini,1,2022-08-01 11:36:27,Gk bisa di buka apk nya pas masuk mlah keluar sendiri.
407,Khai dk,4,2022-07-31 20:13:05,"Dari segi kualitas bagus, tapi kalo ada scene yg layarnya warna putih jadi ga keliatan subtitle nya 😭, mungkin itu bisa di perbaiki yaa...terima kasih"
408,Amin Udin,1,2022-07-31 18:44:57,aplikasi error syarat login-nya udah bener tapi kok tetep dianggep salah
409,Des Wita,5,2022-07-31 12:58:50,"Bagus, banyak pilihan filmnya dan bisa ditonton di beberapa perangkat Ok"
410,Rian Dhita,3,2022-07-31 11:14:09,"Subtitle bagus sebelum d update ,, yg sekarang ada block nya jadi gk enak d loat aja"
411,Puja Widya,3,2022-07-31 00:55:38,Kasih bintang 3 dlu. Karna belum bisa kebuka apk netflix nya min
412,Lina Wijayanti,5,2022-07-31 00:15:20,"Ini netflix lagi kenapa ya?kok kualitas gambar nya jelek,video stream nya pecah dan putus putus kaya kaset rusak,apa ada gangguan?"
413,M. Abi Lutfiyanur,1,2022-07-30 12:29:18,"Lagi nonton Peaky Blinders, udh Season 5, tiba2 filmnya hilang, dicari dipencarian pun gak ada. Aneh bgt ya Netflix, tdi pagi ada filmnya, pas sore udh ilang."
414,Pinkan n,5,2022-07-30 01:11:05,Aplikasi nya bagus aku suka aku bisa nonton doraemon di aplikasi netfilx tapi sayang nya sering ngebug dan ada bug nya dan juga banyak iklan nya tolong di perbaiki ya
415,Muhammad Zaki ZN,2,2022-07-29 12:53:17,"Meski berlanggan Paket Ponsel, kualitas tidak bisa diatur manual ke 320p"
416,AZOM GAMERZ,5,2022-07-28 14:28:44,Baguss...g ada ngeleg dalam aplikasi nya...sangat lancar dalam jaringan...
417,Tri Yulianto,4,2022-07-28 11:31:35,"Sangat bagus baik dari segi kualitas dan gambar. Kalo ada, tlg beri fitur play video untuk 60fps agar terasa bener bener seperti cinema. Untuk filmnya bagus namun kadang film film populer nggak ada di netflix. Biaya berlangganan sebetulnya bukan masalah, cuma yang perpustakaan film yang kadang film populer ga ada."
418,Asyahid Store,1,2022-07-28 04:59:45,Kualitas video yang tersedia usai didownload rendah padahal langganan Netflix yang paling mahal bulanan beda sama yang sebelah hasil download nya
419,Agung wicaksono,1,2022-07-28 04:05:54,sumpah gw udh berhenti langganan masih di tarik saldo gw netflix makin gajelas ga ikhlas gw jangan mu download netflix berlangganan cacat udh berhenti malah tetep di tarik saldo mbanking
420,Isnaini,5,2022-07-28 03:09:30,"Dari dulu sebelum pandemi netflix itu udah berbayar. Semenjak pandemi bayarnya dimahalin karena dimasukin pajak sama pemerintah. Jadi, yg menjadi masalah orang2 adalah mereka pengen nonton dengan memaki netflix padahal dari jaman baheula udh berbayar. Cuma sistem pembayarannya aja diperbanyak. Jadi bisa pake gopaylah, atau pake debit card lah. Dulu hanya bisa pake cc dan paypal. Jadi kalo mau ngeluh salah lapak kalian.."
421,21 101 AHMAD FALIQ RAEHAN,3,2022-07-28 02:30:30,"Saya cuma mau ada fitur pilih resolusi kayak yt saat menonton, itu aja sih🤧"
422,Riska Yuliasih,5,2022-07-28 02:28:59,"Lumayan Sh, cuma kadang suka lag mungkin karena ruang penyimpanan di hp ku sedikit"
423,email tika,4,2022-07-28 01:27:20,"Overall saya suka. Gak pernah ngelag gak ada iklan. Sepanjang film, smooooth bgt gak gmn2 dan subtitle jg ok. Cumaaaa saya kurang sreg sama pilihan. Utk Netflix Indo film western yg lama atau baru tuh dikit. Jd aku pake VPN dan pilih negara lain sih oke2 filmnya mayanlah. Masukannya cuma, banyakin koleksi filmnya lg yaaa! Kalo makin banyak dan cocok, aku bakal langganan lg dan lg ;)"
424,Achi Atan,2,2022-07-27 12:34:42,"Tadinya saya bisa masuk, tapi sekarang pas donlot ulang, koq gabisa yah?? Padahal koneksi internet aman, memory HP juga masih banyak, sudah restart sama matiin dulu hapenya. Bisa tolong dibantu kah Min? Thx"
425,MY GOOGLE 01,2,2022-07-27 02:24:25,"Maap saya tidak menyukai update baru baru ini , perihal tampilan subtitle yang berwarna hitam di belakangnya ."
426,Ujiart Desain,5,2022-07-26 05:50:39,"Buat developer nya mau saran tolong di berikan opsi bisa aktifkan 2 subtitle bersamaan dalam satu film.. Saya lagi belajar bahasa lewat film dan itu akan sangat memudahkan jika ada opsi mengaktifkan 2 subtitle (misal sub English dan Indonesia) secara bersamaan di film, ini akan jadi promosi yg bagus juga untuk Netflix dengan mengkampanyekn belajar bahasa lewat film dengan menyediakan opsi aktifkan 2 subtitle secara bersamaan."
427,Agung Gaming,2,2022-07-24 11:09:23,Kecewa dengan Netflix tiba tiba ga bisa di tonton video nya
428,Muhammad Ridwan,1,2022-07-24 06:42:03,Kuota 5gb ga bisa di pakai untuk netflix ga bisa daftar pake nomor hp fak
429,Ayu Amalia,3,2022-07-24 05:27:46,"Padahal sy mau bayar susahnya minta ampun, tolong lah perbaiki sistem pembayarannya ribet bgt asli. Coba lagi nanti. Ovo gpay saya saldo cukup tapi gabisa dipake bayar."
430,nand tz,5,2022-07-23 05:44:49,Terima kasih netflix team sudah menayangkan kartun kenangan saya saat kecil cardcaptor sakura .bersyukur hanya di netflix saya bisa nonton.😍😍.sukses terus buat netflix
431,rikilip,2,2022-07-23 05:33:53,Suara dan gambar gabisa pas. Gambarnya lebih lambat dr suara nya kaya slow motion
432,Yutiara _,5,2022-07-23 02:19:20,ga suka pake kartu kartu debit sgala ribet ga kaya inflik viu ga pake kartu debit ini ko ribet bgt.. aku kan ga puunya kartu debit cm pnya kuota..sy msh sklh sy suka bgt nonton film..tolong kebijakan jangan pake debit debitan
433,Rian Leonardi,3,2022-07-22 15:25:02,Perbaiki lagi lah bos padahal pake wifi super kencang tapi ga konek . Udah bayar mahal lagi buat langganan
434,Triana Nurmala Sari,1,2022-07-22 14:10:49,"Pagi masih bisa nonton Malam malah gk bisa kebuka aplikasi nya ""Kegagalan sistem"""
435,ita mandaryani,4,2022-07-22 13:20:57,Netflix keluar sendiri ini g bisa masuk apa app nya rusak..sya langganan autodebet setiap bulan..mohon di bantu
436,Gee 15,1,2022-07-22 05:17:42,"Udah brlangganan, tpi mau login malah gak bisa. Padahal udah bayar. Hedeehh."
437,Rendra Ahmad Hafizi,4,2022-07-21 14:08:51,Kenapa layarnnya ngefreeze mulu ya..padahal sebelum sebelummnya lancar banget
438,Andree Vcc,1,2022-07-21 13:47:43,"Biaya langganan mahal,error juga kalo download,,mending Disney hostar kalo kek gini😐"
439,Maria Agustini Titin,1,2022-07-21 13:10:37,"Saya heran pas mau download film banyak yg download, tpi pas user yg lain mau dihapus malah ga bisa. Katanya, ""maaf, perangkat ini tidak bisa dihapus sekarang"". Makin error ini aplikasi"
440,Riski Aprildhan,1,2022-07-21 06:27:56,Ampas ga lengkap film nya banyak yg ga ada yg bagus bagus😡
441,Siti Nurohmah,1,2022-07-21 01:34:43,"Setiap login mlah menunya ""selamat datang bla bla bla"" suka ssah jga kalo buka di tv.. sllu error. Kecewa bgt"
442,Kaka Apoy,5,2022-07-21 01:24:01,"Ranting nya 2,4 orang2 pd kenapa ? Selama aku pakai tdk ada masalah, kualitas video di Netflix malah lebih bagus, streaming lebih lancar."
443,fajar barokah,3,2022-07-19 14:47:11,Kurang update..film baru nya sangat sangat telaaaaaaat
444,Dimas Vito,5,2022-07-19 14:44:02,"Sangat bagus ..alhamdullillah tidak pernah ada kendala, dan semoga tidak pernah ada...tinggal ditingkatkan aja kualitasnya.."
445,Gusti Karinda,5,2022-07-19 13:32:43,"Bagus, gambar super ok. Tapi gak tau 4 hari terakhir ini tidak bisa dibuka padahal baru aja perpanjang langganan. Sudah coba hubungi pihak netflix tapi masalah belum terselesaikan."
446,S1 KEP Berta Deva Ayu Syafi,5,2022-07-18 23:47:11,"Bagus si menurut aku, kalau misal ada kendala coba aja logout dari akun kalian trus masuk lagi."
447,Taufik Hidayat,3,2022-07-18 17:14:31,banyak flim nya yang hilang awalnya ada habis tu dicari lagi ngak ada bantu untuk update nya min
448,Egi,5,2022-07-18 14:40:48,"Gue bingung bagi orang-orang yang ngasih bintang 1 alasannya gara-gara bayar. Aplikasi Netflix nggak kayak tv di Indonesia yang ada iklan nya. Ataupun YouTube yang banyak iklan nya.( Walaupun ada YouTube premium yang mesti bayar). Logika sederhananya gini aja. Kreator yang bikin film dan series itu memerlukan uang agar bisa bertahan hidup. Nah mereka dapet uang nya dari langganan kalian. Hargai karya orang lain, kalo masalah ingin dihargai aja paling keras suara nya."
449,Rafa Alvaro,1,2022-07-18 14:34:50,Hmmm kenapa ya gw kagak bisa login? Padahal udah isi sandi sama email malah login gagal gw coba lagi tetep gk bisa gimana gw mau nonton anime atau film dah?
450,ita mustika sari,2,2022-07-18 08:16:45,Saya kok sulit banget untuk masuk ke Netflix dan kenapa harus di kenakan biaya ? Tidak gratis ?
451,Risty Bunga,5,2022-07-17 13:15:30,"Bingung kenapa penilaiannya jelek banget padahal menurut saya paling bagus dan lengkap untuk fitur pemutaran video nya, i love netflix"
452,Mas Bo,1,2022-07-17 11:32:43,"film film nya kurang lengkap, sekali nya ada film yang bagus berhenti di episode tanpa update episode baru, tolong diperbaharui biar puas pelanggan netflix nya."
453,Arie Adi,1,2022-07-17 02:54:06,Sudah gak bisa login lgi.. di suruh top up dulu 👍
454,Ashadi Tjahyadi,4,2022-07-16 16:25:15,"Kenapa ada bahasa translet nya, jd ngga berasa nonton film ORI nya, tp beberapa bahasanya asli, tp lumayan lah. Good"
455,YT IYAN RX,4,2022-07-16 13:24:36,Yah boleh lah filmnya btw kualitas gambar nya kok ngatur sendiri yah kaga bisa di ubah² tapi emang bagus sih cooler full
